,0
0,3
1,8
2,7
3,9
4,9
5,0
6,1
7,1
8,5
9,2
10,0
11,3
12,8
13,4
14,7
15,5
16,2
17,6
18,4
19,7
20,1
21,8
22,0
23,9
24,2
25,0
26,0
27,1
28,9
29,2
30,5
31,3
32,6
33,4
34,3
35,5
36,6
37,6
38,9
39,7
40,1
41,8
42,3
43,9
44,6
45,0
46,7
47,9
48,1
49,5
50,7
51,5
52,3
53,6
54,8
55,9
56,5
57,8
58,1
59,9
60,4
61,8
62,5
63,7
64,8
65,5
66,8
67,1
68,1
69,0
70,9
71,0
72,2
73,2
74,3
75,2
76,6
77,7
78,2
79,8
80,0
81,2
82,2
83,0
84,2
85,1
86,7
87,2
88,9
89,6
90,2
91,3
92,5
93,3
94,9
95,7
96,7
97,3
98,1
99,3
100,2
101,6
102,9
103,4
104,4
105,9
106,2
107,0
108,6
109,9
110,1
111,5
112,9
113,2
114,4
115,8
116,3
117,2
118,1
119,0
120,0
121,0
122,2
123,1
124,8
125,3
126,8
127,2
128,0
129,1
130,2
131,7
132,9
133,4
134,1
135,6
136,1
137,3
138,2
139,1
140,0
141,3
142,9
143,9
144,3
145,1
146,5
147,7
148,7
149,6
150,4
151,8
152,1
153,4
154,7
155,3
156,1
157,1
158,2
159,4
160,7
161,3
162,5
163,6
164,6
165,9
166,9
167,0
168,0
169,1
170,7
171,7
172,4
173,5
174,6
175,4
176,0
177,4
178,7
179,7
180,1
181,7
182,5
183,9
184,9
185,5
186,9
187,8
188,0
189,8
190,6
191,4
192,5
193,9
194,2
195,0
196,4
197,8
198,9
199,9
200,2
201,8
202,7
203,0
204,0
205,1
206,3
207,2
208,9
209,4
210,3
211,5
212,4
213,6
214,3
215,7
216,4
217,8
218,6
219,9
220,1
221,0
222,8
223,1
224,6
225,4
226,5
227,5
228,2
229,6
230,0
231,7
232,9
233,8
234,6
235,9
236,4
237,0
238,3
239,1
240,0
241,4
242,0
243,7
244,5
245,0
246,6
247,9
248,1
249,9
250,8
251,7
252,4
253,7
254,0
255,5
256,2
257,1
258,5
259,0
260,3
261,0
262,4
263,7
264,2
265,0
266,1
267,1
268,1
269,4
270,6
271,6
272,0
273,6
274,8
275,6
276,0
277,5
278,3
279,2
280,5
281,8
282,3
283,0
284,9
285,1
286,5
287,7
288,5
289,6
290,1
291,2
292,9
293,1
294,6
295,7
296,7
297,7
298,6
299,6
300,2
301,1
302,7
303,4
304,6
305,9
306,9
307,6
308,2
309,7
310,4
311,4
312,2
313,4
314,3
315,7
316,5
317,2
318,1
319,8
320,4
321,2
322,3
323,0
324,7
325,1
326,0
327,2
328,3
329,3
330,3
331,4
332,6
333,5
334,0
335,6
336,9
337,7
338,4
339,8
340,0
341,9
342,1
343,0
344,6
345,1
346,1
347,2
348,0
349,3
350,4
351,4
352,0
353,5
354,2
355,6
356,6
357,7
358,8
359,8
360,3
361,9
362,1
363,0
364,1
365,1
366,0
367,2
368,2
369,3
370,5
371,4
372,0
373,5
374,9
375,6
376,1
377,7
378,1
379,8
380,0
381,9
382,9
383,6
384,0
385,5
386,5
387,9
388,7
389,3
390,3
391,4
392,7
393,3
394,7
395,8
396,4
397,5
398,8
399,1
400,5
401,5
402,3
403,2
404,1
405,3
406,2
407,0
408,7
409,1
410,9
411,2
412,5
413,1
414,9
415,3
416,1
417,2
418,6
419,6
420,1
421,5
422,8
423,3
424,3
425,0
426,8
427,7
428,9
429,2
430,3
431,7
432,5
433,4
434,5
435,6
436,2
437,4
438,9
439,0
440,6
441,5
442,6
443,9
444,8
445,9
446,8
447,8
448,1
449,9
450,3
451,5
452,6
453,3
454,3
455,1
456,0
457,7
458,1
459,4
460,4
461,7
462,4
463,6
464,2
465,5
466,3
467,4
468,1
469,0
470,3
471,0
472,2
473,6
474,7
475,6
476,2
477,2
478,9
479,0
480,9
481,6
482,8
483,3
484,6
485,7
486,8
487,7
488,0
489,4
490,8
491,4
492,5
493,3
494,4
495,9
496,7
497,2
498,5
499,8
500,1
501,9
502,2
503,6
504,4
505,0
506,5
507,9
508,1
509,5
510,7
511,3
512,6
513,8
514,2
515,8
516,9
517,7
518,3
519,1
520,3
521,4
522,7
523,0
524,9
525,4
526,2
527,3
528,2
529,9
530,0
531,0
532,6
533,7
534,6
535,2
536,5
537,1
538,5
539,9
540,6
541,1
542,0
543,5
544,7
545,1
546,5
547,7
548,7
549,4
550,6
551,8
552,6
553,6
554,2
555,1
556,1
557,6
558,4
559,8
560,4
561,8
562,1
563,0
564,0
565,1
566,5
567,2
568,1
569,3
570,2
571,4
572,8
573,7
574,2
575,8
576,9
577,9
578,5
579,0
580,1
581,1
582,2
583,2
584,8
585,3
586,5
587,4
588,9
589,5
590,7
591,6
592,8
593,7
594,4
595,8
596,8
597,9
598,5
599,0
600,6
601,1
602,1
603,2
604,0
605,3
606,3
607,4
608,3
609,7
610,5
611,8
612,4
613,9
614,9
615,1
616,2
617,6
618,4
619,8
620,2
621,9
622,5
623,9
624,1
625,0
626,4
627,1
628,8
629,2
630,6
631,4
632,8
633,4
634,4
635,3
636,4
637,7
638,1
639,4
640,7
641,4
642,4
643,4
644,3
645,0
646,9
647,3
648,7
649,8
650,6
651,7
652,5
653,5
654,6
655,8
656,5
657,2
658,9
659,1
660,9
661,5
662,1
663,8
664,0
665,5
666,3
667,1
668,3
669,1
670,4
671,6
672,6
673,2
674,3
675,1
676,3
677,3
678,3
679,4
680,2
681,9
682,7
683,4
684,1
685,9
686,1
687,2
688,2
689,0
690,4
691,0
692,1
693,4
694,8
695,4
696,3
697,6
698,6
699,2
700,0
701,5
702,7
703,5
704,4
705,0
706,9
707,2
708,7
709,6
710,8
711,8
712,1
713,1
714,2
715,7
716,7
717,9
718,7
719,1
720,8
721,9
722,9
723,2
724,4
725,6
726,8
727,7
728,3
729,6
730,3
731,6
732,0
733,8
734,3
735,7
736,4
737,4
738,8
739,2
740,5
741,1
742,5
743,3
744,7
745,3
746,9
747,0
748,6
749,5
750,0
751,5
752,9
753,8
754,6
755,0
756,3
757,3
758,4
759,7
760,3
761,9
762,3
763,7
764,5
765,3
766,2
767,6
768,4
769,7
770,5
771,8
772,9
773,0
774,6
775,3
776,2
777,5
778,4
779,3
780,9
781,0
782,5
783,1
784,9
785,2
786,6
787,3
788,7
789,4
790,6
791,5
792,6
793,6
794,9
795,7
796,3
797,8
798,5
799,9
800,8
801,0
802,2
803,1
804,5
805,2
806,0
807,3
808,9
809,4
810,9
811,5
812,4
813,6
814,5
815,7
816,6
817,8
818,8
819,9
820,9
821,0
822,5
823,1
824,2
825,2
826,3
827,3
828,7
829,4
830,3
831,5
832,4
833,6
834,1
835,7
836,6
837,8
838,1
839,9
840,0
841,7
842,1
843,6
844,0
845,4
846,2
847,3
848,9
849,0
850,4
851,6
852,1
853,6
854,4
855,6
856,8
857,9
858,4
859,0
860,9
861,0
862,8
863,1
864,7
865,3
866,8
867,9
868,1
869,4
870,4
871,5
872,3
873,7
874,0
875,9
876,3
877,5
878,1
879,6
880,3
881,8
882,3
883,9
884,5
885,1
886,1
887,3
888,4
889,8
890,7
891,5
892,1
893,7
894,5
895,8
896,3
897,1
898,2
899,4
900,3
901,8
902,3
903,5
904,5
905,8
906,9
907,1
908,4
909,0
910,6
911,7
912,4
913,6
914,0
915,1
916,0
917,6
918,4
919,0
920,2
921,3
922,1
923,4
924,0
925,6
926,1
927,8
928,4
929,9
930,6
931,2
932,7
933,1
934,9
935,7
936,8
937,4
938,0
939,5
940,7
941,2
942,4
943,5
944,9
945,2
946,7
947,1
948,8
949,2
950,6
951,9
952,4
953,3
954,5
955,9
956,6
957,2
958,5
959,2
960,4
961,5
962,2
963,8
964,4
965,7
966,3
967,4
968,6
969,7
970,9
971,1
972,2
973,8
974,0
975,0
976,6
977,9
978,2
979,6
980,6
981,8
982,1
983,1
984,3
985,1
986,7
987,5
988,2
989,7
990,4
991,6
992,0
993,3
994,3
995,5
996,6
997,4
998,3
999,2
1000,6
1001,9
1002,3
1003,0
1004,1
1005,4
1006,2
1007,7
1008,4
1009,4
1010,3
1011,3
1012,3
1013,2
1014,0
1015,9
1016,4
1017,2
1018,2
1019,0
1020,7
1021,3
1022,0
1023,4
1024,4
1025,5
1026,0
1027,0
1028,8
1029,0
1030,2
1031,3
1032,2
1033,2
1034,3
1035,8
1036,0
1037,3
1038,6
1039,3
1040,4
1041,0
1042,3
1043,1
1044,4
1045,0
1046,4
1047,1
1048,6
1049,7
1050,1
1051,1
1052,0
1053,3
1054,7
1055,5
1056,7
1057,1
1058,1
1059,7
1060,0
1061,1
1062,6
1063,8
1064,5
1065,6
1066,2
1067,8
1068,9
1069,1
1070,8
1071,0
1072,0
1073,4
1074,9
1075,3
1076,7
1077,0
1078,9
1079,1
1080,7
1081,2
1082,1
1083,3
1084,2
1085,7
1086,2
1087,8
1088,7
1089,9
1090,9
1091,0
1092,7
1093,1
1094,5
1095,2
1096,9
1097,3
1098,6
1099,7
1100,6
1101,8
1102,9
1103,9
1104,3
1105,0
1106,2
1107,1
1108,8
1109,2
1110,2
1111,3
1112,1
1113,4
1114,3
1115,5
1116,0
1117,6
1118,5
1119,7
1120,8
1121,8
1122,7
1123,9
1124,4
1125,7
1126,4
1127,4
1128,6
1129,0
1130,7
1131,4
1132,6
1133,0
1134,1
1135,1
1136,5
1137,7
1138,3
1139,9
1140,6
1141,5
1142,8
1143,1
1144,4
1145,4
1146,8
1147,2
1148,4
1149,8
1150,9
1151,9
1152,1
1153,4
1154,5
1155,3
1156,1
1157,1
1158,6
1159,7
1160,8
1161,8
1162,0
1163,2
1164,7
1165,4
1166,7
1167,4
1168,7
1169,3
1170,7
1171,3
1172,0
1173,6
1174,6
1175,9
1176,8
1177,9
1178,1
1179,5
1180,7
1181,8
1182,5
1183,6
1184,4
1185,7
1186,9
1187,0
1188,7
1189,6
1190,9
1191,8
1192,9
1193,2
1194,9
1195,6
1196,9
1197,3
1198,5
1199,9
1200,1
1201,3
1202,9
1203,2
1204,7
